Name,Caliber,Image,Grain,MuzzleVelocity,MBPR-Torso,Force,Wound,BallisticCoefficient,Diameter,Found,Price_Per_Round,GelTest,Notes,Manufacturers,Zeroes
IMI Ammo 5.56x45mm NATO 62 Grain M855 SS109 Penetrator Full Metal,5.56 NATO,Social media image from www.midwayusa.com on 2023-01-24 at 8.07.44 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/RzQEXnEAFq-zAR5fAdMQwg/DmzEsTvBCoZJXiuoJQ-OjN7g3DvGT_A0vXrvpEtV4YZz-8fEVZnKZptMErYaSKRhDE9ccyVfwI1pkwkGt2thlaIYiNVCs0ZB36-zvEK7DruCiqbhd6uJcivMTEUTEGZwEgcBe2biOmptv-sVgGfuyYhCYUqUELhEwEXdlz2qSzeX0AenfgHvEQ6ZK_mqmXg7UsIJYQHzfHGiegyPsGW8Tg/1V1aAKtBtTdGzAxxVj5FeGJJTSp9A_YDlb9xdQKctMw),62.0,3020.0,,1255.37,#ERROR!,0.307,,https://www.midwayusa.com/product/2090460512,,,,,
M855A1 (Army Standard from Lake City),5.56 NATO,,62.6,2949.0,407.0,1208.62,331.98,0.291,0.2230,https://www.snipershide.com/shooting/threads/m855a1-accuracy-and-velocity.7129146/,,https://www.youtube.com/watch?v=d8IvDPuVuho,"Frags better than green tip, allegedly.",,21
"5.56 NATO 75 gr BTHP Superformance® Match™ - Hornady Manufacturing, Inc",5.56 NATO,Social media image from www.hornady.com on 2022-11-18 at 3.20.15 AM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/9Jq5F3-W0bEMJdh1vU1Zng/NtIcoyO15rN5x7Qt0Hg0WrcOCHyh5xd4uIcY0X1n1_K-z4FbqnRWDkN9djT4FMMbvjyBc5q1mfs6nQlyecS-_fqIc41MD97ZyFguxcZ8wynuNvPrsaVhr8Nxx_GmWK4ZyTFhwwp9e-mUic2imaV6id9BIHFJS17Pk-1DCKaj5P4ba2vuoXTJgrvEqAFKIq22TD9HioHBavHcbiGKSm_LiA/v28cC8n7UXcUPl5o1i8gRGjBfRqedrMRcmEFoOz5oNM),75.0,2910.0,426.0,1409.98,#ERROR!,0.395,,https://www.hornady.com/ammunition/rifle/5-56-nato-75-gr-bthp-superformance-match#!/,$1.400,,https://www.midwayusa.com/product/1001911070,Hornady,15
Black Hills Ammo 5.56x45mm NATO 77 Grain Sierra Tipped MatchKing (TMK),5.56 NATO,Social media image from www.midwayusa.com on 2022-11-25 at 11.19.58 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/au66mse2gvgmwjfh2eudrA/k2dEBD9FPrhPRUGV2rxFZiNSFRNiMU78FE5zrfTJxf-Ig_emA54HFsjwwDRp2rQ4TXcYA7uG1AROccdnVcpGeOYL5_bUIRIiuAkei9MB2XDnkYMRPExrHv92z8-AvxifCgBZLAkx7AAL9iWMREigmHAWjYFWfbuERqIoLYEx-SJPFfytGgl-mnd0fa5NDLiWkhor8HBHWzW5tbT4kmko3w/GcdECTcQemLJFgy8cRzUJyD_Mjm-PBJoJTZ-2JNcQ08),77.0,2750.0,409.0,1292.77,#ERROR!,0.420,,https://www.midwayusa.com/product/1017628583,$1.800,,,,25
Bulk 5.56x45 Ammo For Sale - 77 Grain OTM MK262 Mod 1-C Ammunition in Stock by Black Hills - 500 Rounds,5.56 NATO,Social media image from www.luckygunner.com on 2022-11-25 at 11.07.18 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/MgmNAxRBMGYpuVQXlulxtA/UrLixcaitlXqmWyJTNA8HSh_uR3jldVMmkcv_qvqu67PAPxZ0EmHImDpUwo5M097QeYvnmBL4otYSTn-oP5aIsbCpXF5OLM7tFb1TdhXPT7p8rZYiAtki6f0602D6rfQgD4nvWa_lLQzUtwqlGDsm1rh3akdz35EgzQjA0C4hBtX43fzrQpAKLAaHYUGJRyJi6hFNZLz-bROEUo6KoF1ow/QxNanADkM0IVbmbVY4X5XCInvnoKE1-yB7IhaYj9aDI),77.0,2750.0,393.0,1292.77,#ERROR!,0.373,,https://www.luckygunner.com/5-56-black-hills-77-grain-sierra-open-tip-match-500-rounds#info,,,,,24
"MK 262 MOD 1-C, MIL PACK | Product categories | Black Hills Ammunition",5.56 NATO,,77.0,2750.0,,1292.77,#ERROR!,0.373,,http://www.black-hills.com/product-category/mk-262-mod-1-c-mil-pack/,,,,,
Precision Match - Barnes Bullets - 5.56 NATO,5.56 NATO,Social media image from www.barnesbullets.com on 2023-04-26 at 11.23.58 PM.png (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/aCM8SYXbB43QHIJBpb1uiw/2LTgBFWxd_RabOLZjC9UpYs1dcpxltuIfE5U4PtSMyFP7cqJ9HzekpuwurPXo7yIc7ZtugkQGh5a2XQCp0RIOLK5tYqvA2JhyclkQPxET8hSrzGBuls05auFJot6E2X-QhvdwFosHGF7wwx8fdjMTgoWC0y1iRwlaNKEMzBeqs9CVWmthlvWpchVZbXxLD-bEsF629XQoiHXu02-QGdF_TIddzcSaIhHNOYWJeS7D-M/7Yn7kKBUJjkYFEqL5AVMuY0tdf98nm9gyhSToTewQFw),85.0,2600.0,386.0,1275.65,#ERROR!,0.403,,https://www.barnesbullets.com/product/precision-match/,,,,,63
Federal American Eagle XM193 5.56 NATO 55 gr FMJ – MOA Customs,5.56 NATO,Social media image from moacustoms.com on 2023-02-14 at 10.09.53 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/_RJfDnINkIwR4b_rIrIAwQ/dyTSCD0yxKeLElgNdP_B28h_rUA6bUtr1SNQ-3GPnZ3akhNrT3M429CB2o6SwZv3pb4SMxztQS2_cgbZANnaDtEES4E4p8knGVDsrR6-wuwAB2GMIERaRwBeyZIIvppKe4tdhvQ91CBLzkTIgXn8XnEB5zazJeN4qZHnKiadskgM8qQg9E_kjE1Abc7hLAdbvZXPLMZ0S3SxvhQ8LyCtJQ/MHGyhYMF1-9J-LnuUQSItD5z58OnoA7HUFy-R7OBe70),55.0,1223.0,,182.63,#ERROR!,0.246,,https://moacustoms.com/product/federal-american-eagle-xm193-5-56-nato-55-gr-fmj/,,,,,
M855A1 For Sale | Where To Buy M855A1 Ammo | Buy M855A1,5.56 NATO,Social media image from ammunitioncamp.com on 2023-02-15 at 4.01.01 PM.jpeg (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/OycBTLARlqRnx8WFlNZEBg/XOeiFkKNOBS_avSKdea3MWJk3VHSTl1vFlNt8W0k0XGJxtm2t_QfqDK7Ubcv35R592XfRANbEPp5R3Z1aE0FLR95Duydz2-CwWWWHfcPX3-2R2RX-6betJst1rcOvIv_lwZdrb4XClVpDlhUZSuA4xtG6Vh9oKWzCGg031SjKKGXzIkrJNRyUe74a2FZFzd-PWQE3I8jQmrpVEFZYZWWPQ/mNUN_aQi0JYJy0tXKJmE7LYUkGPQpNmq87UTx_jia9U),,,,#ERROR!,#ERROR!,,,https://ammunitioncamp.com/product/m855a1-for-sale/,,,,,
Precision Match - Barnes Bullets,300 Blackout,Social media image from www.barnesbullets.com on 2023-04-26 at 11.30.36 PM.png (https://v5.airtableusercontent.com/v3/u/27/27/1712059200000/NwWmgiUZOnedSdbgvEtW3Q/rH-tWYaZfHEAJl53jMMMbJfQU9t81xKCIWMKmyDbiLRl7zS7V94CAnH_7E-8I06OQtceB8PkZGPEQMFX1bGIEdD-4Xdgncx1m4MvJvFi3Mk4tcu64vt1Z0KA31hICoWzIgOo0b2zwTVgW4jNu5oBg1gbB2bGreDnG-6MIOMIr6ao0PJENWd1XwJJscc3-9JuK825SKKTncAuwjhjGPbu6i1vVppdYJdZk-DHmakEbkg/p0HFxE21tcbRpZYuZWqR4ed-jWxFC8YIQ7S1Twd7DoU),85.0,2600.0,,1275.65,#ERROR!,0.403,,https://www.barnesbullets.com/product/precision-match/,,,,,
